Type of reference (TY),First Author (A1),Secondary Author (A2),Tertiary Author (A3),Subsidiary Author (A4),Abstract (AB),Author Address (AD),Accession Number (AN),Author (AU),Location in Archives (AV),This field maps to T2 for all reference types except for Whole Book and Unpublished Work references. (BT),Custom 1 (C1),Custom 2 (C2),Custom 3 (C3),Custom 4 (C4),Custom 5 (C5),Custom 6 (C6),Custom 7 (C7),Custom 8 (C8),Caption (CA),Call Number (CN),This field can contain alphanumeric characters. (CP),Title of unpublished reference (CT),Place Published (CY),Date (DA),Name of Database (DB),DOI (DO),Database Provider (DP),Editor (ED),End Page (EP),Edition (ET),Reference ID (ID),Issue number (IS),Periodical name: user abbreviation 1. (J1),Alternate Title (J2),Periodical name: standard abbreviation. (JA),Journal/Periodical name: full format. (JF),Journal/Periodical name: full format. (JO),Keywords (KW),Link to PDF. (L1),Link to Full-text. (L2),Related Records. (L3),Image(s). (L4),Language (LA),Label (LB),Website Link (LK),Number (M1),Miscellaneous 2. (M2),Type of Work (M3),Notes (N1),Abstract. (N2),Number of Volumes (NV),Original Publication (OP),Publisher (PB),Publishing Place (PP),Publication year (YYYY/MM/DD) (PY),Reviewed Item (RI),Research Notes (RN),Reprint Edition (RP),Section (SE),ISBN/ISSN (SN),Start Page (SP),Short Title (ST),Primary Title (T1),Secondary Title (T2),Tertiary Title (T3),Translated Author (TA),Title (TI),Translated Title (TT),User definable 1. (U1),User definable 2. (U2),User definable 3. (U3),User definable 4. (U4),User definable 5. (U5),URL (UR),Volume number (VL),Published Standard number (VO),Primary Date (Y1),Access Date (Y2),End of Reference (ER)
JOUR ,,,,,"Ngari virus is an orthobunyavirus recently recognized as a reassortant between Bunyamwera virus and an as yet unidentified M segment donor. Analysis of M segment sequences of Batai and Ilesha viruses revealed 95% deduced amino acid identity between Batai virus and Ngari virus. These findings suggest Batai virus as the donor of Ngari virus M segment sequence. Analysis of Batai virus-related African isolates identified UgMP-6830, isolated from mosquitoes in Uganda, as an isolate of Batai virus. KV-141, isolated during a febrile disease outbreak in Sudan, was identified as another isolate of Ngari virus, emphasizing a role of this reassortant virus in severe human illness throughout East Africa. ",,,"Lipkin, WI ",,,,Pmc1472162 ,,,,,,,,,,,,Jun ,,,,,,16/05/2006,12538,11,,Journal of virology ,,,,"/epidemiology Bunyamwera virus/genetics/isolation & purification Bunyaviridae Infections/complications/epidemiology/veterinary/virology Disease Outbreaks Fever/etiology Orthobunyavirus/classification/genetics/isolation & purification RNA, Viral/chemistry Reassortant Viruses/genetics/isolation & purification ",,,,,,,,,,,,,,,,,2006,,,,,0022-538X (Print) 0022-538x ,5627-30 ,Batai and Ngari viruses: M segment reassortment and association with severe febrile disease outbreaks in East Africa ,,J Virol ,,,Batai and Ngari viruses: M segment reassortment and association with severe febrile disease outbreaks in East Africa ,,,,,,,,80,,,,  
JOUR ,,,,,"Ngari virus is an orthobunyavirus recently recognized as a reassortant between Bunyamwera virus and an as yet unidentified M segment donor. Analysis of M segment sequences of Batai and Ilesha viruses revealed 95% deduced amino acid identity between Batai virus and Ngari virus. These findings suggest Batai virus as the donor of Ngari virus M segment sequence. Analysis of Batai virus-related African isolates identified UgMP-6830, isolated from mosquitoes in Uganda, as an isolate of Batai virus. KV-141, isolated during a febrile disease outbreak in Sudan, was identified as another isolate of Ngari virus, emphasizing a role of this reassortant virus in severe human illness throughout East Africa. ",,,"Lipkin, W. I. ",,,,PMC1472162 ,,,,,,,,,,,,Jun ,,,,,,,19402,11,,,,,,"Africa, Eastern/epidemiology Bunyamwera virus/genetics/isolation & purification Bunyaviridae Infections/complications/epidemiology/veterinary/virology Disease Outbreaks Fever/etiology Orthobunyavirus/classification/genetics/isolation & purification RNA, Viral/chemistry Reassortant Viruses/genetics/isolation & purification ",,,,,,,,,,,"Briese, Thomas Bird, Brian Kapoor, Vishal Nichol, Stuart T Lipkin, W Ian eng R21 AI056118/AI/NIAID NIH HHS/ AI 056118-02/AI/NIAID NIH HHS/ Research Support, N.I.H., Extramural Research Support, Non-U.S. Gov't 2006/05/16 09:00 J Virol. 2006 Jun;80(11):5627-30. ",,,,,,2006,,,,,0022-538X (Print) 0022-538X (Linking) ,5627-30 ,Batai and Ngari viruses: M segment reassortment and association with severe febrile disease outbreaks in East Africa ,,J Virol ,,,Batai and Ngari viruses: M segment reassortment and association with severe febrile disease outbreaks in East Africa ,,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/16699043 ,80,,,,  
JOUR ,,,,,,,,"Nagasaka, T ",,,,,,,,,,,,,,,,Dec-14,,,,,,14/12/1990,12539,4987,,"Science (New York, N.Y.) ",,,,,,,,,,,,,,,,,,,,,1990,,,,,0036-8075 (Print) 0036-8075 ,1498,Imprisoned in Sudan ,,Science ,,,Imprisoned in Sudan ,,,,,,,,250,,,,  
JOUR ,,,,,,,,"Farid, N. M. ",,,,,,,,,,,,,,,,1987,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,1987,,,,,,151,Use of anti-idiotypic antibodies as probes for the interactions of TSH sub units with its receptor ,,Cell Biochem ,,,Use of anti-idiotypic antibodies as probes for the interactions of TSH sub units with its receptor ,,,,,,,,34,,,,  
JOUR ,,,,,,,,"Farid, NR ",,,,,,,,,,,,,,,,1982,,,,,,,78,,,,,,,Hypergammaglobulinemia G with HLA-DR3 Graves' Disease ,,,,,,,,,,,,,,,,,1982,,,,,,20,Association of hypergammaglobulinemia G with HLA-DR3 in Graves' disease ,,Tissue Antigens ,,,Association of hypergammaglobulinemia G with HLA-DR3 in Graves' disease ,,,,,,,,19,,,,  
JOUR ,,,,,,,,"Brisset, Claire ",,,,,,,,,,,,,,,,"eb, March 1979 ",,,,,,,3456,,,,,,,Traditional Sudanese Medicine Female Genital Cutting (Circumcision) ,,,,,,,,,,,,,,,,,1979,,,,,,,On Female Circumcision ,,Le Monde ,,,On Female Circumcision ,,,,,,,,,,,,  
JOUR ,,,,,"PIP: The WHO organized in Sudan a conference on traditional practices affecting women's health, meaning such barbarous practices as excision, partial or total, of the clitoris, and infibulation. Such mutilations are still practiced in 25 African countries, notwithstanding official prohibition. Complications from such practices are several and severe, going from hemorrage to retention of urine, from serious lesions to infection and bad cicatrizations. Infertility and dysmenorrhea are long term complications, together with enormous, and often fatal, obstetrical difficulties at the time of delivery. eng ",,,"Brisset, C ",,,,,,,,,,,,,,,,Dec ,,,,,,01/12/1979,12540,12,,"Contraception, fertilite, sexualite ",,,," Biology Developing Countries Disease Economics Genitalia Genitalia,  Hemorrhage Infection Physiology Signs and Symptoms Socioeconomic Factors Urogenital System Women's Rights Bleeding Diseases Economic Factors Infections Urogenital Effects Urogenital System Women's Status ",,,,,fre ,,,,,,,,,Les mutilations sexuelles feminines. ,,,1979,,,,,0301-861X (Print) 0301-861x ,913-6 ,Sexual mutilation in women (author's transl)] ,,Contracept Fertil Sex (Paris) ,,,Sexual mutilation in women (author's transl)] ,,,,,,,,7,,,,  
JOUR ,,,,,,,,"Brock, Major RGC ",,,,,,,,,,,,,,,,1918,,,,,,,4621,,,,,,,Anthropology Medical Folklore Traditional Sudanese Medicine ,,,,,,,,,,,,,,,,,1918,,,,,,249-262 ,Some Notes on the Azande Tribe as Found in the Meridi District (Bahr Al-Ghazal Province) ,,Sudan Notes and Records ,,,Some Notes on the Azande Tribe as Found in the Meridi District (Bahr Al-Ghazal Province) ,,,,,,,,1,,,,  
CHAP ,,"Wortley, B A ",,,,,,"Brockington, Fraser ",,,,,,,,,,,,,,,Manchester ,,,,,,,,2328,,,,,,,,,,,,,,,,,,,,,,Manchester University Press ,,1957,,,,,,130-49 ,The World Health Organization (WHO) ,,The United Nations: The First Ten Tears ,,,The World Health Organization (WHO) ,,,,,,,,,,,,  
BOOK ,,,,,,,,Brockway ,,,,,,,,,,,,,,,,,,,,,,,3944,,,,,,,"History of Medicine Missionaries, Travellers and Explorers ",,,,,,,,,,,,,,,,,,,,,,,,African Journeys ,,,,,African Journeys ,,,,,,,,,,,,  
JOUR ,,,,,"Five nematode species were studied for ability to develop on seven summer cover crops in rotation with tomato transplants grown every third year. Increase of Tylenchorhynchus claytoni, Trichodorus christiei, Pratylenchus brachyurus, Helicotylenchus dihystera, and Xiphinema americanum in newly cleared soil varied with different cover crops. No substantial nematode population increases occurred until the third summer of crop growth. All species except X. americanum and H. dihystera developed best on sudangrass and millet. Crotalaria caused substantial increase of H. dihystera and P. brachyurus but suppressed the other species. Marigold suppressed all species except X. americanum which increased substantially on marigold during the 5th year. Cotton favored rapid increase of T. christiei, and moderate increases of all species except T. claytoni which was suppressed. Beggarweed favored moderate increases of T. christiei and H. dihystera but suppressed the other species. Hairy indigo favored rapid increase of H. dihystera, moderate increases of T. christiei and X. americanum, and suppressed the other species. Number of marketable transplants was reduced after 2 years of sudangrass and cotton; these crops favored increases of T. christiei and T. claytoni. The better cover crops prevented increases of most plant parasitic nematodes in land cropped to tomato, a suitable host. ",,,"Jaworski, CA ",,,,Pmc2618742 ,,,,,,,,,,,,Jul ,,,,,,01/07/1970,12541,3,,Journal of nematology ,,,,"Crotalaria spectabflis (crotalaria) Desmodium tortuosum (beggarweed) Gossypium hirsutum (cotton) Helicotylenchus dihystera Indigofera hirsuta (hairy indigo) Lycopersicon esculentum (tomato) Panicum ramosum (millet) Pratylenchus brachyurus Sorghum vulgare var. ""sudanense' (Sudan grass) Tagetes minuta (marigold) Trichodorus christiei Tylenchorhynchus claytoni Xiphinema americanum summer cover crops ",,,,,,,,,,,,,,,,,1970,,,,,0022-300X (Print) 0022-300x ,217-22 ,Population dynamics of plant nematodes in cultivated soil: effect of summer cover crops in newly cleared land ,,J Nematol ,,,Population dynamics of plant nematodes in cultivated soil: effect of summer cover crops in newly cleared land ,,,,,,,,2,,,,  
JOUR ,,,,,"Five nematode species were studied for ability to develop on seven summer cover crops in rotation with tomato transplants grown every third year. Increase of Tylenchorhynchus claytoni, Trichodorus christiei, Pratylenchus brachyurus, Helicotylenchus dihystera, and Xiphinema americanum in newly cleared soil varied with different cover crops. No substantial nematode population increases occurred until the third summer of crop growth. All species except X. americanum and H. dihystera developed best on sudangrass and millet. Crotalaria caused substantial increase of H. dihystera and P. brachyurus but suppressed the other species. Marigold suppressed all species except X. americanum which increased substantially on marigold during the 5th year. Cotton favored rapid increase of T. christiei, and moderate increases of all species except T. claytoni which was suppressed. Beggarweed favored moderate increases of T. christiei and H. dihystera but suppressed the other species. Hairy indigo favored rapid increase of H. dihystera, moderate increases of T. christiei and X. americanum, and suppressed the other species. Number of marketable transplants was reduced after 2 years of sudangrass and cotton; these crops favored increases of T. christiei and T. claytoni. The better cover crops prevented increases of most plant parasitic nematodes in land cropped to tomato, a suitable host. ",,,"Jaworski, C. A. ",,,,PMC2618742 ,,,,,,,,,,,,Jul ,,,,,,,19405,3,,,,,,"Crotalaria spectabflis (crotalaria) Desmodium tortuosum (beggarweed) Gossypium hirsutum (cotton) Helicotylenchus dihystera Indigofera hirsuta (hairy indigo) Lycopersicon esculentum (tomato) Panicum ramosum (millet) Pratylenchus brachyurus Sorghum vulgare var. ""sudanense' (Sudan grass) Tagetes minuta (marigold) Trichodorus christiei Tylenchorhynchus claytoni Xiphinema americanum summer cover crops ",,,,,,,,,,,"Brodie, B B Good, J M Jaworski, C A eng 1970/07/01 00:00 J Nematol. 1970 Jul;2(3):217-22. ",,,,,,1970,,,,,0022-300X (Print) 0022-300X (Linking) ,217-22 ,Population dynamics of plant nematodes in cultivated soil: effect of summer cover crops in newly cleared land ,,J Nematol ,,,Population dynamics of plant nematodes in cultivated soil: effect of summer cover crops in newly cleared land ,,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/19322300 ,2,,,,  
JOUR ,,,,,,,,"Brodie, W ",,,,,,,,,,,,,,,,1973,,,,,,,2090,,,,,,,,,,,,,,,,,,,,,,,,1973,,,,,,,Personal  communication ,,,,,Personal  communication ,,,,,,,,,,,,  
JOUR ,,,,,"Centers for Disease Control guidelines for schistosomiasis and strongyloidiasis in Sudanese and Somali refugees are not widely implemented. Given limited prevalence data, we conducted a seroprevalence study of schistosomiasis, strongyloidiasis, and loiasis in Sudanese refugees across diverse ages. Sudanese refugees, ages 4-78, were recruited via community organizations. Half of the patients (86/172), were seropositive for schistosomiasis (46/171; 26.9%), strongyloidiasis (56/172; 33%), or both (16/171; 9.4%). No Loa loa infections were detected. Infection rates were similar in adults and children except that no schistosomiasis was detected in children < 4 years of age at the time of immigration to the United States. The high prevalence of schistosomiasis and strongyloidiasis in a community-based sample of Sudanese confirms the urgency for compliance with CDC refugee health guidelines. We detected no co-infection with Loa loa using the most sensitive serologic techniques, allowing use of ivermectin, the most effective treatment of strongyloidiasis. ",,,"Reed, SL ",,,,,,,,,,,,,,,,Mar ,,,,,,10/03/2009,12542,3,,The American journal of tropical medicine and hygiene ,,,,"  Aged Albendazole/economics/therapeutic use Anthelmintics/economics/therapeutic use Centers for Disease Control and Prevention (U.S.) Child Child, Preschool Cross-Sectional Studies  Helminthiasis/diagnosis/drug therapy/ethnology  Ivermectin/economics/therapeutic use  Middle Aged Practice Guidelines as Topic Refugees Seroepidemiologic Studies Sudan/ethnology United States   ",,,,,,,,,,,,,,,,,2009,,,,,0002-9637 ,425-30 ,Community based parasitic screening and treatment of Sudanese refugees: application and assessment of Centers for Disease Control guidelines ,,Am J Trop Med Hyg ,,,Community based parasitic screening and treatment of Sudanese refugees: application and assessment of Centers for Disease Control guidelines ,,,,,,,,80,,,,  
JOUR ,,,,,"Centers for Disease Control guidelines for schistosomiasis and strongyloidiasis in Sudanese and Somali refugees are not widely implemented. Given limited prevalence data, we conducted a seroprevalence study of schistosomiasis, strongyloidiasis, and loiasis in Sudanese refugees across diverse ages. Sudanese refugees, ages 4-78, were recruited via community organizations. Half of the patients (86/172), were seropositive for schistosomiasis (46/171; 26.9%), strongyloidiasis (56/172; 33%), or both (16/171; 9.4%). No Loa loa infections were detected. Infection rates were similar in adults and children except that no schistosomiasis was detected in children < 4 years of age at the time of immigration to the United States. The high prevalence of schistosomiasis and strongyloidiasis in a community-based sample of Sudanese confirms the urgency for compliance with CDC refugee health guidelines. We detected no co-infection with Loa loa using the most sensitive serologic techniques, allowing use of ivermectin, the most effective treatment of strongyloidiasis. ",,,"Reed, S. L. ",,,,,,,,,,,,,,,,Mar ,,,,,,,19406,3,,,,,,"Adolescent Adult Aged Albendazole/economics/therapeutic use Anthelmintics/economics/therapeutic use Centers for Disease Control and Prevention (U.S.) Child Child, Preschool Cross-Sectional Studies Female Helminthiasis/diagnosis/drug therapy/ethnology Humans Ivermectin/economics/therapeutic use Male Middle Aged Practice Guidelines as Topic Refugees Seroepidemiologic Studies Sudan/ethnology United States Young Adult ",,,,,,,,,,,"Brodine, Stephanie K Thomas, Anne Huang, Robert Harbertson, Judith Mehta, Sanjay Leake, John Nutman, Thomas Moser, Kathleen Wolf, Jamie Ramanathan, Roshan Burbelo, Peter Nou, John Wilkins, Patricia Reed, Sharon L eng Intramural NIH HHS/ Research Support, N.I.H., Intramural Research Support, Non-U.S. Gov't 2009/03/10 09:00 Am J Trop Med Hyg. 2009 Mar;80(3):425-30. ",,,,,,2009,,,,,1476-1645 (Electronic) 0002-9637 (Linking) ,425-30 ,Community based parasitic screening and treatment of Sudanese refugees: application and assessment of Centers for Disease Control guidelines ,,Am J Trop Med Hyg ,,,Community based parasitic screening and treatment of Sudanese refugees: application and assessment of Centers for Disease Control guidelines ,,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/19270293 ,80,,,,  
JOUR ,,,,,"PURPOSE: VCAM-1 plays a major role in the chronic inflammatory processes present in vulnerable atherosclerotic plaques. The residues 75-84 (B2702-p) and 84-75/75-84 (B2702-rp) of the major histocompatibility complex-1 (MHC-1) molecule B2702 were previously shown to bind specifically to VCAM-1. We hypothesised that radiolabelled B2702-p and B2702-rp might have potential for the molecular imaging of vascular cell adhesion molecule-1 (VCAM-1) expression in atherosclerotic plaques. METHODS: Preliminary biodistribution studies indicated that 125I-B2702-rp was unsuitable for in vivo imaging owing to extremely high lung uptake. 123I- or 99mTc-labelled B2702-p was injected intravenously to Watanabe heritable hyperlipidaemic rabbits (WHHL, n=6) and control animals (n=6). After 180 min, aortas were harvested for ex vivo autoradiographic imaging, gamma-well counting, VCAM-1 immunohistology and Sudan IV lipid staining. RESULTS: Robust VCAM-1 immunostaining was observed in Sudan IV-positive and to a lesser extent in Sudan IV-negative areas of WHHL animals, whereas no expression was detected in control animals. Significant 2.9-fold and 1.9-fold increases in 123I-B2702-p and 99mTc-B2702-p aortic-to-blood ratios, respectively, were observed between WHHL and control animals (p<0.05). Tracer uptake on ex vivo images co-localised with atherosclerotic plaques. Image quantification indicated a graded increase in 123I-B2702-p and 99mTc-B2702-p activities from control to Sudan IV-negative and to Sudan IV-positive areas, consistent with the observed pattern of VCAM-1 expression. Sudan IV-positive to control area tracer activity ratios were 17.0+/-9.0 and 5.9+/-1.8 for 123I-B2702-p and 99mTc-B2702-p, respectively. CONCLUSION: Radiolabelled B2702-p is a potentially useful radiotracer for the molecular imaging of VCAM-1 in atherosclerosis. ",,,"Ghezzi, C ",,,,,,,,,,,,,,,,Jun ,,,,,,16/01/2007,12543,6,,"European journal of nuclear medicine and molecular imaging KW  -, Immunologic/pharmacology  Aorta/metabolism/radionuclide imaging Atherosclerosis/pathology/radionuclide imaging Autoradiography/methods Azo Compounds/pharmacology Diagnostic Imaging/methods Disease Models, Animal Dose-Response Relationship, Drug Inflammation Iodine Radioisotopes/therapeutic use Major Histocompatibility Complex Peptide Fragments/pharmacology Rabbits Vascular Cell Adhesion Molecule-1/biosynthesis ",,,,,,,,,,,,,,,,,,,,,2007,,,,,1619-7070 (Print) 1619-7070 ,830-40 ,Molecular imaging of vascular cell adhesion molecule-1 expression in experimental atherosclerotic plaques with radiolabelled B2702-p ,,Eur J Nucl Med Mol Imaging ,,,Molecular imaging of vascular cell adhesion molecule-1 expression in experimental atherosclerotic plaques with radiolabelled B2702-p ,,,,,,,,34,,,,  
JOUR ,,,,,"PURPOSE: VCAM-1 plays a major role in the chronic inflammatory processes present in vulnerable atherosclerotic plaques. The residues 75-84 (B2702-p) and 84-75/75-84 (B2702-rp) of the major histocompatibility complex-1 (MHC-1) molecule B2702 were previously shown to bind specifically to VCAM-1. We hypothesised that radiolabelled B2702-p and B2702-rp might have potential for the molecular imaging of vascular cell adhesion molecule-1 (VCAM-1) expression in atherosclerotic plaques. METHODS: Preliminary biodistribution studies indicated that 125I-B2702-rp was unsuitable for in vivo imaging owing to extremely high lung uptake. 123I- or 99mTc-labelled B2702-p was injected intravenously to Watanabe heritable hyperlipidaemic rabbits (WHHL, n=6) and control animals (n=6). After 180 min, aortas were harvested for ex vivo autoradiographic imaging, gamma-well counting, VCAM-1 immunohistology and Sudan IV lipid staining. RESULTS: Robust VCAM-1 immunostaining was observed in Sudan IV-positive and to a lesser extent in Sudan IV-negative areas of WHHL animals, whereas no expression was detected in control animals. Significant 2.9-fold and 1.9-fold increases in 123I-B2702-p and 99mTc-B2702-p aortic-to-blood ratios, respectively, were observed between WHHL and control animals (p<0.05). Tracer uptake on ex vivo images co-localised with atherosclerotic plaques. Image quantification indicated a graded increase in 123I-B2702-p and 99mTc-B2702-p activities from control to Sudan IV-negative and to Sudan IV-positive areas, consistent with the observed pattern of VCAM-1 expression. Sudan IV-positive to control area tracer activity ratios were 17.0+/-9.0 and 5.9+/-1.8 for 123I-B2702-p and 99mTc-B2702-p, respectively. CONCLUSION: Radiolabelled B2702-p is a potentially useful radiotracer for the molecular imaging of VCAM-1 in atherosclerosis. ",,,"Ghezzi, C. ",,,,,,,,,,,,,,,,Jun ,,,,,,,19407,6,,,,,,"Adjuvants, Immunologic/pharmacology Animals Aorta/diagnostic imaging/metabolism Atherosclerosis/diagnostic imaging/pathology Autoradiography/methods Azo Compounds/pharmacology Diagnostic Imaging/methods Disease Models, Animal Dose-Response Relationship, Drug Inflammation Iodine Radioisotopes/therapeutic use Major Histocompatibility Complex Peptide Fragments/pharmacology Rabbits Radionuclide Imaging Vascular Cell Adhesion Molecule-1/biosynthesis ",,,,,,,,,,,"Broisat, A Riou, L M Ardisson, V Boturyn, D Dumy, P Fagret, D Ghezzi, C eng Research Support, Non-U.S. Gov't Germany 2007/01/16 09:00 Eur J Nucl Med Mol Imaging. 2007 Jun;34(6):830-40. Epub 2007 Jan 12. ",,,,,,2007,,,,,1619-7070 (Print) 1619-7070 (Linking) ,830-40 ,Molecular imaging of vascular cell adhesion molecule-1 expression in experimental atherosclerotic plaques with radiolabelled B2702-p ,,Eur J Nucl Med Mol Imaging ,,,Molecular imaging of vascular cell adhesion molecule-1 expression in experimental atherosclerotic plaques with radiolabelled B2702-p ,,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/17219135 ,34,,,,  
JOUR ,,,,,"We have developed a sensitive and specific method to identify Trypanosoma brucei gambiense using the polymerase chain reaction (PCR) to amplify the gene encoding variant surface glycoprotein (VSG) Antat 11.17. The test was capable of distinguishing T. b. gambiense from T. b. brucei in most foci of gambian sleeping sickness and gave positive results with previously well-characterised Type I T. b. gambiense stocks from Ivory Coast, Nigeria, Cameroon, Congo, Zaire and Sudan. The test gave negative results with T. b. rhodesiense from Zambia, Kenya and Uganda, virulent or Type II T. b. gambiense from Ivory Coast and T. b. brucei stocks from East and West Africa. The test was modified for colorimetric detection in dot blot format by using nested biotinylated primers in a two-step reaction. Comparison of DNA sequences of VSG genes from T. b. gambiense and other T. brucei ssp. stocks showed a high level of homology, suggesting recent gene flow. ",,,"Dukes, P ",,,,,,,,,,,,,,,,Apr ,,,,,,01/04/1993,12544,2,,Acta tropica ,,,," Base Sequence Genes, Protozoan  Molecular Sequence Data Polymerase Chain Reaction Sensitivity and Specificity Trypanosoma brucei gambiense/isolation & purification Variant Surface Glycoproteins, Trypanosoma/genetics ",,,,,,,,,,,,,,,,,1993,,,,,0001-706X (Print) 0001-706x ,107-19 ,Identification of Trypanosoma brucei gambiense by PCR amplification of variant surface glycoprotein genes ,,Acta Trop ,,,Identification of Trypanosoma brucei gambiense by PCR amplification of variant surface glycoprotein genes ,,,,,,,,53,,,,  
JOUR ,,,,,,,,"al, et ",,,,,,,,,,,,,,,,1952,,,,,,,599,,,,,,,Blood Groups ,,,,,,,,,,,,,,,,,1952,,,,,,,Blood groups ,,Anals of Eugenices ,,,Blood groups ,,,,,,,,17,,,,  
JOUR ,,,,,,,,"Rzoska, J ",,,,,,,,,,,,,,,,1954,,,,,,,600,,,,,,,Jebel Aulia Dam Nile Plankton ,,,,,,,,,,,,,,,,,1954,,,,,,101,The influence of Jebel Aulia dam on the development of Nile Plankton ,,J An Ecol ,,,The influence of Jebel Aulia dam on the development of Nile Plankton ,,,,,,,,23,,,,  
JOUR ,,,,,,,,"Guyatt, H ",,,,,,,,,,,,,,,,,,,,,,,6657,2,,,,,,,,,,,,,,,,,,,,,,,1999,,,,,0035-9203 ,125-126 ,Comparisons of schistosome and geohelminth infection prevalences in school-aged children from selected areas of Africa: implications for rapid assessment and combined control ,,Transactions of the Royal Society of Tropical Medicine and Hygiene ,,,Comparisons of schistosome and geohelminth infection prevalences in school-aged children from selected areas of Africa: implications for rapid assessment and combined control ,,,,,,,,93,,,,  
JOUR ,,,,,,,,"Brothwell, DR ",,,,,,,,,,,,,,,,1961,,,,,,,3283,,,,,,,Palaeopathology ,,,,,,,,,,,,,,,,,1961,,,,,,318-344 ,The Palaeopathology of Early British Man: an essay on the problems of diagnosis and analysis ,,J. Roy. Anthrop. Inst. ,,,The Palaeopathology of Early British Man: an essay on the problems of diagnosis and analysis ,,,,,,,,91,,,,  
JOUR ,,,,,,,,"al, et ",,,,,,,,,,,,,,,,1961,,,,,,,601,,,,,,,Insecticides Chironomid Midges Blue Nile ,,,,,,,,,,,,,,,,,1961,,,,,,789-801 ,Insecticidal operations against chironomid midges along the Blue Nile ,,Bull Ent Res ,,,Insecticidal operations against chironomid midges along the Blue Nile ,,,,,,,,4,,,,  
JOUR ,,,,,"Northeastern corner of Africa, lying at the crossroads between the two continents of Europe and Asia (in the Sinai Peninsula), while bordering Libya, Sudan, Israel and the Red Sea. Egypt is the most ancient tourist country in the world. Several health fact-finding missions in the last few years were made to this small country that is frequently defined by the Valley of the Nile. With the spreading deserts on either side, or a very rich heritage of ancient relics, these scenic vistas are without equal elsewhere in the world. Although there are significant cultural differences among the population, Egypt has a long history of ethnic and religious compassion. Among the many rarities, main tourist attractions include the three great Pyramids of Giza and the Sphinx, amazing ancient wonders of the world. These fact-finding missions included how health and medical care are defined, how people and culture are intertwined with its physical features, land use, and the economy and its resources. ",,,"Brown, G ",,,,,,,,,,,,,,,,Fall ,,,,,,26/11/2009,12546,4,,"The ABNF journal : official journal of the Association of Black Nursing Faculty in Higher Education, Inc ",,,,Cultural Characteristics Delivery of Health Care Egypt  Religion Travel ,,,,,,,,,,,,,,,,,2009,,,,,1046-7041 (Print) 1046-7041 ,112-4 ,"Eyewitness introduction to Egypt: ""The gift of the Nile"" ",,Abnf j ,,,"Eyewitness introduction to Egypt: ""The gift of the Nile"" ",,,,,,,,20,,,,  
JOUR ,,,,,,,,"Brown, H ",,,,,,,,,,,,,,,,Aug 21-27 ,,,,,,27/08/2004,12547,9435,,"Lancet (London, England) ",,,,Communicable Diseases/epidemiology  International Cooperation Refugees Relief Work/economics Starvation/epidemiology Sudan/epidemiology ,,,,,,,,,,,,,,,,,2004,,,,,0140-6736 ,654,Disease and hunger in Sudan ,,Lancet ,,,Disease and hunger in Sudan ,,,,,,,,364,,,,  
JOUR ,,,,,,,,"Brown, H ",,,,,,,,,,,,,,,,Feb-24,,,,,,28/02/2007,12548,9562,,"Lancet (London, England) ",,,,Altruism  Health Services Needs and Demand   Refugees Relief Work Security Measures/statistics & numerical data Sudan Violence ,,,,,,,,,,,,,,,,,2007,,,,,0140-6736 ,630-2 ,Worsening security in Darfur could reverse health gains ,,Lancet ,,,Worsening security in Darfur could reverse health gains ,,,,,,,,369,,,,  
JOUR ,,,,,,,,"Brown, Judith K ",,,,,,,,,,,,,,,,1963,,,,,,,3231,,,,,,,Traditional Sudanese Medicine Female Genital Cutting (Circumcision) Anthropology Medical Folklore Traditional Sudanese Medicine ,,,,,,,,,,,,,,,,,1963,,,,,,837-53 ,A Cross-Cultural Study of Female Initiation Rites ,,American Anthropologist ,,,A Cross-Cultural Study of Female Initiation Rites ,,,,,,,,65,,,,  
